"MPRL table v3.0"
"TableName";;"RHS"
"TableID";"08a6f5f1-45bc-4387-92d3-0108e03b2d46"
"TableType";"CrossSection"
"Group";"#LNG006"
"TableParam1";"RectangularHollow"
"TableParam2";""
"TableParam3";""
;;
"Header";"ElementID";"B";"D";"t";"r1";"Fabrication";"A";"ry";"rz";"Iy";"Iz";"Wely";"Welz";"Iyz";"It";"y0";"z0";"Wply";"Wplz";"Iw";"Avy";"Avz"
"Unit";;"mm";"mm";"mm";"mm";;"m2";"m";"m";"m4";"m4";"m3";"m3";"m4";"m4";"m";"m";"m3";"m3";"m6";"m2";"m2"
"UnitCoeff";;0,001;0,001;0,001;0,001;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Data"
"RHS80/40/8.0";"{28e034b6-d56e-45fd-a615-482f14837ec4}";40;80;8;11,5;1;0,0016;0,0257390753524675;0,0141642154742153;1,06E-06;3,21E-07;2,65E-05;1,61E-05;1,96868985787621E-21;8,58E-07;0;0;3,5238109375E-05;2,0795646484375E-05;4,096E-10;0,000533333333333333;0,00106666666666667
"RHS90/50/3.0";"{8233528b-e7e9-476d-a188-56055e2eaa40}";50;90;3;4,5;1;0,000794;0,0326032558526205;0,0205405539770139;8,44E-07;3,35E-07;1,88E-05;1,34E-05;1,58818677610181E-22;7,65E-07;0;0;2,2949716796875E-05;1,52187451171875E-05;3,54375E-10;0,000283571428571429;0,000510428571428571
"RHS90/50/3.6";"{5a91f560-b3b4-442b-a71d-d50126eca122}";50;90;3,59999990463257;5,40000009536743;1;0,000942;0,0323036285289421;0,0202688930501324;9,83E-07;3,87E-07;2,18E-05;1,55E-05;-5,82335151237331E-22;8,94E-07;0;0;2,69103203125E-05;1,779372265625E-05;4,25249988734722E-10;0,000336428571428571;0,000605571428571428
"RHS90/50/5.0";"{301605b1-ca5e-4baa-91b1-7d68eccdb943}";50;90;5;7,5;1;0,00127;0,0316227766016838;0,0196825195237589;1,27E-06;4,92E-07;2,83E-05;1,97E-05;9,42324153820409E-21;1,16E-06;0;0;3,5369640625E-05;2,32280546875E-05;5,90625E-10;0,000453571428571429;0,000816428571428571
"RHS90/50/6.3";"{4c76eba3-e83e-4790-a898-3efd22e5186d}";50;90;6,30000019073486;9,44999980926514;1;0,00156;0,0310086836473021;0,0191150363689064;1,5E-06;5,7E-07;3,33E-05;2,28E-05;2,22346148654254E-21;1,38E-06;0;0;4,227221875E-05;2,7582634765625E-05;7,44187522530556E-10;0,000557142857142857;0,00100285714285714
"RHS90/50/8.0";"{76cb3fe0-d527-4e83-b70a-b85f20749dd4}";50;90;8;12;1;0,00192;0,0301039864469807;0,0183428005858793;1,74E-06;6,46E-07;3,86E-05;2,58E-05;9,31074497489688E-21;1,6E-06;0;0;4,99687265625E-05;3,2326263671875E-05;9,45E-10;0,000685714285714286;0,00123428571428571
"RHS100/50/3.0";"{927bbbf5-7108-4c9f-90fb-36a6917ac981}";50;100;3;4,5;1;0,000854;0,0358894999420303;0,020758452469925;1,1E-06;3,68E-07;2,19E-05;1,47E-05;-1,16467030247466E-21;8,84E-07;0;0;2,7042458984375E-05;1,662874609375E-05;4,6875E-10;0,000284666666666667;0,000569333333333333
"RHS100/50/3.2";"{d65f9adc-bdab-430e-b0e6-6b88361d8773}";50;100;3,20000004768372;4,80000019073486;1;0,000908;0,0357425941930294;0,0206715450639374;1,16E-06;3,88E-07;2,32E-05;1,55E-05;1,95876369052557E-21;9,34E-07;0;0;2,863991015625E-05;1,7591416015625E-05;5,00000007450581E-10;0,000302666666666667;0,000605333333333333
"RHS100/50/4.0";"{b52fb661-0ac7-439d-a817-1ac95b18084c}";50;100;4;6;1;0,00112;0,0353553390593274;0,0203100960115899;1,4E-06;4,62E-07;2,79E-05;1,85E-05;-3,59989002583078E-21;1,13E-06;0;0;3,47806875E-05;2,126741796875E-05;6,25E-10;0,000373333333333333;0,000746666666666667
"RHS100/50/5.0";"{0a654dc4-d4da-4982-8bfa-2d4646a660d3}";50;100;5;7,5;1;0,00137;0,0349138669039936;0,0199085500467388;1,67E-06;5,43E-07;3,33E-05;2,17E-05;1,34995875968654E-20;1,35E-06;0;0;4,19050390625E-05;2,54780546875E-05;7,8125E-10;0,000456666666666667;0,000913333333333333
"RHS100/50/6.3";"{0ce745f0-13c7-4ab4-8b1b-ebd61bde3024}";50;100;6,30000019073486;9,44999980926514;1;0,00169;0,0341420631094956;0,0193075390738633;1,97E-06;6,3E-07;3,94E-05;2,52E-05;-3,98370183005538E-21;1,6E-06;0;0;5,027271484375E-05;3,0335734375E-05;9,84375029802323E-10;0,000563333333333333;0,00112666666666667
"RHS100/50/8.0";"{659d06c5-0a08-4b40-bcd1-21016581ff3d}";50;100;8;12;1;0,00208;0,0332531085880588;0,0185664088735958;2,3E-06;7,17E-07;4,6E-05;2,87E-05;8,97325528497524E-21;1,86E-06;0;0;5,973934375E-05;3,568626171875E-05;1,25E-09;0,000693333333333333;0,00138666666666667
"RHS100/60/3.0";"{d736c705-385a-4429-8a9b-4ad735ff6117}";60;100;3;4,5;1;0,000914;0,0368330552712192;0,0246862145816646;1,24E-06;5,57E-07;2,47E-05;1,86E-05;8,99972506457694E-22;1,21E-06;0;0;2,9952458984375E-05;2,102148828125E-05;7,2E-10;0,00034275;0,00057125
"RHS100/60/3.6";"{0d3a6cc5-bb15-4d6f-bd34-1cb602444862}";60;100;3,59999990463257;5,40000009536743;1;0,00109;0,0364729383153839;0,0243822766132295;1,45E-06;6,48E-07;2,89E-05;2,16E-05;-4,97631856511901E-21;1,42E-06;0;0;3,523026953125E-05;2,4673671875E-05;8,63999977111817E-10;0,00040875;0,00068125
"RHS100/60/5.0";"{30fe2b50-7347-480c-9325-6b48becac69c}";60;100;5;7,5;1;0,00147;0,0358568582800318;0,0238475886200932;1,89E-06;8,36E-07;3,78E-05;2,79E-05;-8,99972506457694E-22;1,88E-06;0;0;4,66550390625E-05;3,2513451171875E-05;1,2E-09;0,00055125;0,00091875
"RHS100/60/6.3";"{e263fc2d-c431-4ba4-ab60-14f6e3ee9bf8}";60;100;6,30000019073486;9,44999980926514;1;0,00181;0,0352575371041701;0,0232806561392982;2,25E-06;9,81E-07;4,5E-05;3,27E-05;3,4146015686189E-21;2,24E-06;0;0;5,617581640625E-05;3,896623046875E-05;1,51200004577637E-09;0,00067875;0,00113125
"RHS100/60/8.0";"{d65e2a2b-9f8e-4236-af3c-fb54b72e65c2}";60;100;8;12;1;0,00224;0,0343303281162798;0,022460282405043;2,64E-06;1,13E-06;5,28E-05;3,78E-05;1,15408239063398E-20;2,65E-06;0;0;6,709934375E-05;4,625687890625E-05;1,92E-09;0,00084;0,0014
"RHS120/60/3.6";"{0f50f9fb-dcc9-4d73-8eef-c16ba7130f86}";60;120;3,59999990463257;5,40000009536743;1;0,00123;0,0429596142357512;0,0249063285783359;2,27E-06;7,63E-07;3,79E-05;2,54E-05;-2,11758236813575E-22;1,83E-06;0;0;4,672937109375E-05;2,8734470703125E-05;1,39967996292114E-09;0,00041;0,00082
"RHS120/60/5.0";"{0c511ef8-d3d4-432b-9d66-d24693033542}";60;120;5;7,5;1;0,00167;0,0423133449596773;0,0243231734456478;2,99E-06;9,88E-07;4,99E-05;3,29E-05;9,84675801183124E-21;2,42E-06;0;0;6,222583203125E-05;3,8013453125E-05;1,944E-09;0,000556666666666667;0,00111333333333333
"RHS120/60/6.3";"{1443d4e8-3490-4715-ad68-1573f7e11f9b}";60;120;6,30000019073486;9,44999980926514;1;0,00207;0,0415868801310439;0,0236724834656179;3,58E-06;1,16E-06;5,97E-05;3,88E-05;2,06464280893236E-21;2,9E-06;0;0;7,53268046875E-05;4,57324296875E-05;2,44944007415771E-09;0,00069;0,00138
"RHS120/60/8.0";"{ab361838-68aa-4925-9d5c-3953ea1c3cb3}";60;120;8;12;1;0,00256;0,0407450150325166;0,0229639663385923;4,25E-06;1,35E-06;7,08E-05;4,5E-05;-8,470329472543E-22;3,44E-06;0;0;9,0640578125E-05;5,457687890625E-05;3,1104E-09;0,000853333333333333;0,00170666666666667
"RHS120/80/5.0";"{e1730313-95ba-411a-a55b-43a6285cc690}";80;120;5;7,5;1;0,00187;0,0441799915997503;0,0321260884873544;3,65E-06;1,93E-06;6,09E-05;4,82E-05;1,48230765769503E-21;4,01E-06;0;0;7,37258359375E-05;5,558424609375E-05;3,84E-09;0,000748;0,001122
"RHS120/80/6.3";"{9a3d26da-94c7-43dc-a437-411e0befe729}";80;120;6,30000019073486;9,44999980926514;1;0,00232;0,0435494170355693;0,0314861764961201;4,4E-06;2,3E-06;7,33E-05;5,76E-05;-1,94817577868489E-20;4,87E-06;0;0;8,96530078125E-05;6,7403421875E-05;4,83840014648438E-09;0,000928;0,001392
"RHS120/80/8.0";"{1c135359-54bb-468e-b266-d916a95e52b7}";80;120;8;12;1;0,00288;0,0426956281914983;0,0307882553365186;5,25E-06;2,73E-06;8,75E-05;6,81E-05;1,10114283143059E-20;5,87E-06;0;0;0,000108560578125;8,1318109375E-05;6,144E-09;0,001152;0,001728
"RHS120/80/10.0";"{3153eb9e-ef45-47f5-a2c4-fbdf5b44f827}";80;120;10;15;1;0,00349;0,0417730256667199;0,0299474228863823;6,09E-06;3,13E-06;0,000102;7,81E-05;1,41348623073061E-20;6,88E-06;0;0;0,000128107609375;9,55412578125E-05;7,68E-09;0,001396;0,002094
"RHS150/100/4.0";"{54f120da-e4b8-4a8e-911e-70436dee582c}";100;150;4;6;1;0,00192;0,0562268470868973;0,0410791918128875;6,07E-06;3,24E-06;8,1E-05;6,48E-05;-9,3173624197973E-21;6,6E-06;0;0;9,66939609375E-05;7,31806875E-05;9,375E-09;0,000768;0,001152
"RHS150/100/5.0";"{157e8036-2425-4b17-836e-45f3e48e9e92}";100;150;5;7,5;1;0,00237;0,0558403390025133;0,0406695025641889;7,39E-06;3,92E-06;9,85E-05;7,85E-05;1,18584612615602E-20;8,07E-06;0;0;0,0001183320234375;8,94050390625E-05;1,171875E-08;0,000948;0,001422
"RHS150/100/6.3";"{a22a43e8-cb94-4c38-ad2b-8ccef41e6996}";100;150;6,30000019073486;9,44999980926514;1;0,00295;0,0551730712994135;0,0400846561793531;8,98E-06;4,74E-06;0,00012;9,48E-05;-9,3173624197973E-21;9,86E-06;0;0;0,000144990703125;0,00010930371875;1,47656254470348E-08;0,00118;0,00177
"RHS150/100/8.0";"{e4d118a9-fc50-4fe8-9c8a-e283a2fde2e7}";100;150;8;12;1;0,00368;0,0543489130326089;0,0393216944214503;1,087E-05;5,69E-06;0,000145;0,000114;-1,96935160236625E-20;1,203E-05;0;0;0,000177392421875;0,00013333934375;1,875E-08;0,001472;0,002208
"RHS150/100/10.0";"{3429f85a-8c1d-4279-abb8-6209820c6987}";100;150;10;15;1;0,00449;0,0534343883001077;0,0384846598311101;1,282E-05;6,65E-06;0,000171;0,000133;3,17637355220363E-20;1,432E-05;0;0;0,000212032375;0,0001588244375;2,34375E-08;0,001796;0,002694
"RHS150/100/12.5";"{b0b6fcf7-7416-408d-bf74-19ffcbe730f3}";100;150;12,5;18,75;1;0,00546;0,0522041638691276;0,0373822939028078;1,488E-05;7,63E-06;0,000198;0,000153;-1,10114283143059E-20;1,679E-05;0;0;0,000250210171875;0,00018660403125;2,9296875E-08;0,002184;0,003276
"RHS160/80/4.0";"{5f821c3c-6c49-40f7-8f03-2ac5ab52d83b}";80;160;4;6;1;0,00184;0,0576722373115673;0,0335410196624968;6,12E-06;2,07E-06;7,65E-05;5,17E-05;7,6232965252887E-21;4,93E-06;0;0;9,3956609375E-05;5,793537890625E-05;6,5536E-09;0,000613333333333333;0,00122666666666667
"RHS160/80/5.0";"{9520666c-40d4-433a-9ea3-68b9523d4781}";80;160;5;7,5;1;0,00227;0,0572497427037675;0,03311972674343;7,44E-06;2,49E-06;9,3E-05;6,23E-05;1,29172524456281E-20;6E-06;0;0;0,000114867421875;7,05842421875E-05;8,192E-09;0,000756666666666667;0,00151333333333333
"RHS160/80/6.3";"{499b1c4e-e73f-4954-867f-a59d31b2880e}";80;160;6,30000019073486;9,44999980926514;1;0,00282;0,0565873454013746;0,0325619976036984;9,03E-06;2,99E-06;0,000113;7,48E-05;4,06575814682064E-20;7,3E-06;0;0;0,000140555;8,5975828125E-05;1,03219203125E-08;0,00094;0,00188
"RHS160/80/8.0";"{9d674bc7-d73f-4ca6-8eaf-2a86e913888e}";80;160;8;12;1;0,00352;0,055672540971127;0,0318019439085669;1,091E-05;3,56E-06;0,000136;8,9E-05;-3,17637355220363E-20;8,83E-06;0;0;0,00017164303125;0,000104358109375;1,31072E-08;0,00117333333333333;0,00234666666666667
"RHS160/80/10.0";"{bb28524b-c201-427a-8b76-d502b6918a55}";80;160;10;15;1;0,00429;0,0547083813780575;0,0309522528750648;1,284E-05;4,11E-06;0,000161;0,000103;1,70465380634928E-20;1,041E-05;0;0;0,000204673953125;0,0001235412578125;1,6384E-08;0,00143;0,00286
"RHS160/80/12.5";"{6757ddc1-b827-43af-8c7d-96253e2ebae1}";80;160;12,5;18,75;1;0,00521;0,0533880876963156;0,0298749794208042;1,485E-05;4,65E-06;0,000186;0,000116;4,39398341388168E-20;1,204E-05;0;0;0,00024074390625;0,0001439740625;2,048E-08;0,00173666666666667;0,00347333333333333
