"MPRL table v3.0"
"TableName";;"CHS(cf)"
"TableID";"d650366d-00e6-48bb-8fce-d9af5d3d7387"
"TableType";"CrossSection"
"Group";"#LNG003"
"TableParam1";"CircularHollow"
"TableParam2";""
"TableParam3";""
;;
"Header";"ElementID";"D";"t";"Fabrication"
"Unit";;"mm";"mm";
"CHS(cf)139.7/3.0";"{1ac549c4-062b-48db-8774-56b0abf94303}";139,699996948242;3;3
"CHS(cf)139.7/4.0";"{5222ad68-c3bf-4f62-8245-5731c3dad89c}";139,699996948242;4;3
"CHS(cf)139.7/5.0";"{3ee06bb8-b571-47e6-94b3-6c92c7a5d476}";139,699996948242;5;3
"CHS(cf)139.7/6.0";"{b76ccc24-0e7b-4615-88ee-3978d97ecb34}";139,699996948242;6;3
"CHS(cf)139.7/6.3";"{b8217ad6-c0a0-4f22-9479-99568c169b53}";139,699996948242;6,30000019073486;3
"CHS(cf)139.7/8.0";"{89547cd4-37be-4f7c-886a-af8f59f2a5ca}";139,699996948242;8;3
"CHS(cf)139.7/10.0";"{7c04079f-ff42-4fb6-8f59-57d00be13f1c}";139,699996948242;10;3
"CHS(cf)168.3/3.0";"{82dfc69a-d2bc-4d9f-8225-e755613a2758}";168,300003051758;3;3
"CHS(cf)168.3/4.0";"{a0863fbc-14c7-4b21-b11f-04b03e814016}";168,300003051758;4;3
"CHS(cf)168.3/5.0";"{583bddcd-d195-43cc-80d4-8ebb3ae9c0eb}";168,300003051758;5;3
"CHS(cf)168.3/6.0";"{756221b1-684a-4ca8-aa81-135a18280728}";168,300003051758;6;3
"CHS(cf)168.3/6.3";"{42c715bc-efea-44c3-af29-bb09a86b5e28}";168,300003051758;6,30000019073486;3
"CHS(cf)168.3/8.0";"{4e7651af-a231-4d53-8a61-8158c1316120}";168,300003051758;8;3
"CHS(cf)168.3/10.0";"{13cbc8da-5eb5-4258-ba92-2934e3ec150e}";168,300003051758;10;3
"CHS(cf)177.8/4.0";"{5f97c6b0-4ca7-4263-b5da-27921bde14ae}";177,800003051758;4;3
"CHS(cf)177.8/5.0";"{a5ee28d7-abf1-4c5b-a011-1075a3b51137}";177,800003051758;5;3
"CHS(cf)177.8/6.0";"{0acbf5b5-1c12-406f-8c77-68d2f4c03afd}";177,800003051758;6;3
"CHS(cf)177.8/6.3";"{8f805c80-0d6c-4c93-9d30-b8e4c9845036}";177,800003051758;6,30000019073486;3
"CHS(cf)177.8/8.0";"{dc5a977e-a31f-4f74-bcf0-91bc628ed4e1}";177,800003051758;8;3
"CHS(cf)177.8/10.0";"{ddbfbb13-77af-4488-b0ab-c2430e89f230}";177,800003051758;10;3
"CHS(cf)177.8/12.0";"{eb65d52a-1b9b-42bd-a180-dfd2878fc132}";177,800003051758;12;3
"CHS(cf)177.8/12.5";"{c0c43991-432a-45a5-b3a4-d39b47bce0bd}";177,800003051758;12,5;3
"CHS(cf)193.7/4.0";"{863dfabc-85b2-487a-9dcc-7123c17ff4e2}";193,699996948242;4;3
"CHS(cf)193.7/5.0";"{3b503347-ec3b-480d-b9d6-9c830e82080c}";193,699996948242;5;3
"CHS(cf)193.7/6.0";"{c69e27b2-02e6-4558-ac7b-e17c8056eb94}";193,699996948242;6;3
"CHS(cf)193.7/6.3";"{3f3b50cc-6610-46fd-89ec-6f1e333c0b82}";193,699996948242;6,30000019073486;3
"CHS(cf)193.7/8.0";"{4aae1a67-8189-4a5d-b292-37ed81f59995}";193,699996948242;8;3
