"MPRL table v3.0"
"TableName";;"CHS"
"TableID";"4b98cea0-8263-4b12-8994-a45fe913fbfa"
"TableType";"CrossSection"
"Group";"#LNG003"
"TableParam1";"CircularHollow"
"TableParam2";""
"TableParam3";""
;;
"Header";"ElementID";"D";"t";"Fabrication"
"Unit";;"mm";"mm";
"CHS273.0/6.3";"{bb6e6d9e-313b-44f5-90be-16da16e98408}";273;6,30000019073486;1
"CHS273.0/8.0";"{4dc88e97-c2c3-4f39-b16a-710305a0b065}";273;8;1
"CHS273.0/10.0";"{bae55aa4-e7bd-4547-a930-48a24f29a6ad}";273;10;1
"CHS273.0/12.5";"{b6cc056d-0bea-41b2-9619-93cf5cdd0da1}";273;12,5;1
"CHS273.0/16.0";"{b293b161-e136-455a-8022-ba85d0adf0a7}";273;16;1
"CHS273.0/20.0";"{cb0bea40-4ab0-4c1d-af2f-ada51b550d75}";273;20;1
"CHS273.0/25.0";"{9d71b777-a131-4032-8e48-76affa75a870}";273;25;1
"CHS323.9/5.0";"{742d1a49-44be-413b-84cc-ab35afad8c78}";323,899993896484;5;1
"CHS323.9/6.3";"{c2eb5916-0b80-448d-b5f8-75c0c6524d90}";323,899993896484;6,30000019073486;1
"CHS323.9/8.0";"{dd96e3f0-e50d-46bc-b197-9c51460d6cec}";323,899993896484;8;1
"CHS323.9/10.0";"{5ab91176-14ba-4dd1-910b-fde69e65d2ad}";323,899993896484;10;1
"CHS323.9/12.5";"{b03f0af5-dac5-42eb-acec-b4d1d922afab}";323,899993896484;12,5;1
"CHS323.9/16.0";"{0924471e-4dd2-41f7-a761-6ded1d57a844}";323,899993896484;16;1
"CHS323.9/20.0";"{4f00068e-5954-4523-b3e9-e4c1491b6864}";323,899993896484;20;1
"CHS323.9/25.0";"{af1b5387-9464-480f-9e58-0096138a90e1}";323,899993896484;25;1
"CHS355.6/6.3";"{71cb845f-b3f6-400e-afc0-30c2302e5d36}";355,600006103516;6,30000019073486;1
"CHS355.6/8.0";"{5569620d-d8db-479b-80ef-75698719341e}";355,600006103516;8;1
"CHS355.6/10.0";"{05209a07-36ec-4368-93dc-ad6204d6d840}";355,600006103516;10;1
"CHS355.6/12.5";"{8816550b-2b40-41b9-b169-b025b7662737}";355,600006103516;12,5;1
"CHS355.6/16.0";"{d9732d9e-f76e-4c38-8126-64bd19493138}";355,600006103516;16;1
"CHS355.6/20.0";"{7835a4df-a004-466b-9522-f4111fc1ba41}";355,600006103516;20;1
"CHS355.6/25.0";"{74c14675-f59f-4dd8-ae18-518630f3492b}";355,600006103516;25;1
"CHS406.4/6.3";"{0f64b157-a9c6-4ff2-92aa-cde3898e771d}";406,399993896484;6,30000019073486;1
"CHS406.4/8.0";"{0b9bbb42-2bdf-4709-9d8e-fd83969f21e1}";406,399993896484;8;1
"CHS406.4/10.0";"{aa721e9c-ea63-4eff-b713-0008fefee98e}";406,399993896484;10;1
"CHS406.4/12.5";"{6ac70aa7-69cf-4276-9997-c430baa26984}";406,399993896484;12,5;1
"CHS406.4/16.0";"{eb9c2719-33bb-4ccf-a16c-a208e02f5735}";406,399993896484;16;1
"CHS406.4/20.0";"{ddc417be-d753-4c44-a9e6-577a8cadcb44}";406,399993896484;20;1
"CHS406.4/25.0";"{9b794412-d055-4e2b-aee8-b8b5a74436e6}";406,399993896484;25;1
"CHS406.4/32.0";"{8bd592e1-a8f8-4e55-9c73-5d7025410f15}";406,399993896484;32;1
"CHS457.0/6.3";"{4935e714-9b74-46a0-88ee-3876813400ff}";457;6,30000019073486;1
"CHS457.0/8.0";"{86ab5114-f9cf-4871-b618-e33aee5f3f14}";457;8;1
"CHS457.0/10.0";"{b85f75d3-a008-4d23-bcf8-9bfb608e3d2c}";457;10;1
"CHS457.0/12.5";"{0534fc85-65c1-4429-a78d-3827931b5110}";457;12,5;1
"CHS457.0/16.0";"{62fadc41-5153-4fca-9261-ed13cd337527}";457;16;1
"CHS457.0/20.0";"{96ecba68-f97b-469c-9792-ccfe284f80cc}";457;20;1
"CHS457.0/25.0";"{dc82dbd6-13ea-42c0-a7c7-99e77e90aa68}";457;25;1
"CHS457.0/32.0";"{08b87fd6-c1ca-49e8-9f45-48e0dfdb20e4}";457;32;1
"CHS457.0/40.0";"{bf6443af-78bd-4401-ad48-006cb7e07e0c}";457;40;1
"CHS508.0/6.3";"{bd9656e5-0ce0-4ff1-86a1-2639e14d3c5d}";508;6,30000019073486;1
"CHS508.0/8.0";"{6fcebde9-4ca0-474b-9f14-c75474a017e6}";508;8;1
"CHS508.0/10.0";"{3c67c4f2-8760-4e85-9831-93df9616998b}";508;10;1
"CHS508.0/12.5";"{229a78c8-bbdf-4073-a2b0-703e3b10883e}";508;12,5;1
"CHS508.0/16.0";"{5dc497e3-af43-4b21-9c83-dea70bf69d07}";508;16;1
"CHS508.0/20.0";"{fb923acb-0442-48bd-899e-855e6507e117}";508;20;1
"CHS508.0/25.0";"{818f5f25-1aaf-4a0a-a1fd-6a052d7d63f0}";508;25;1
"CHS508.0/32.0";"{8a324d81-77fb-451e-a485-9d2ea2546b5c}";508;32;1
"CHS508.0/40.0";"{8d0b1093-e235-4bfa-8c55-d6266c47e893}";508;40;1
"CHS508.0/50.0";"{14f145a8-b78a-493d-8fce-abc948c45624}";508;50;1
"CHS559.0/20.0";"{44c35164-b61b-431e-94a1-702454f8fc3f}";559;20;1
"CHS559.0/25.0";"{dc45c4c5-3c44-4be9-a42b-8ca98cfd18e0}";559;25;1
"CHS559.0/32.0";"{0a42f6f9-695f-4d65-9c68-25caa4d313ea}";559;32;1
"CHS559.0/40.0";"{38e97b18-faf1-469d-bedd-f855d67812de}";559;40;1
"CHS559.0/50.0";"{3af1b23c-fc57-49a0-a0f7-3d9cc04d9b16}";559;50;1
"CHS610.0/20.0";"{44222003-49d5-484c-a8ae-132d9a715307}";610;20;1
"CHS610.0/25.0";"{6b78e474-b951-414c-84cf-e10e35f7bd39}";610;25;1
"CHS610.0/32.0";"{a8461659-0ae6-44f6-b058-88f8066153a6}";610;32;1
"CHS610.0/40.0";"{0e9d3b4b-bb2a-4fbf-91c7-523556971987}";610;40;1
"CHS610.0/50.0";"{bc235f0d-e9a6-4303-9791-089614528230}";610;50;1
"CHS660.0/20.0";"{3da7a89d-10fd-4050-8c85-62266f289728}";660;20;1
"CHS660.0/25.0";"{ada5b697-060b-4b6e-8f12-7f399e651c4f}";660;25;1
"CHS660.0/32.0";"{d9cec10c-c452-4c75-b01c-23ff91eb8b2e}";660;32;1
"CHS660.0/40.0";"{1c6b665e-9d1a-4970-8bbe-5bab8d20830e}";660;40;1
"CHS660.0/50.0";"{b9a5d6c9-23c5-412c-8561-b9b03ff045f6}";660;50;1
