"MPRL table v3.0"
"TableName";;"SHS"
"TableID";"78518acd-9921-499a-9bca-a1c00df46fef"
"TableType";"CrossSection"
"Group";"#LNG006"
"TableParam1";"SquareHollow"
"TableParam2";""
"TableParam3";""
;;
"Header";"ElementID";"B";"D";"t";"r1";"Fabrication";"A";"ry";"rz";"Iy";"Iz";"Wely";"Welz";"Iyz";"It";"y0";"z0";"Wply";"Wplz";"Iw";"Avy";"Avz"
"Unit";;"mm";"mm";"mm";"mm";;"m2";"m";"m";"m4";"m4";"m3";"m3";"m4";"m4";"m";"m";"m3";"m3";"m6";"m2";"m2"
"UnitCoeff";;0,001;0,001;0,001;0,001;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Data"
"SHS60/60/8.0";"{801bee35-fa6a-4901-a3d9-5b11ca0340b3}";60;60;8;12;1;0,0016;0,0208716314647418;0,0208716314647418;6,97E-07;6,97E-07;2,32E-05;2,32E-05;-1,55112908465944E-20;1,18E-06;0;0;2,961687890625E-05;2,961687890625E-05;5,184E-10;0,0008;0,0008
"SHS70/70/3.0";"{dc76ed32-ca00-4398-9c27-c305378131ab}";70;70;3;4,5;1;0,000794;0,0272593662409628;0,0272593662409628;5,9E-07;5,9E-07;1,69E-05;1,69E-05;7,54918114240395E-20;9,22E-07;0;0;1,968423046875E-05;1,968423046875E-05;4,20175E-10;0,000397;0,000397
"SHS70/70/3.6";"{2ba27dd1-43ac-401e-824b-18b7399b963d}";70;70;3,59999990463257;5,40000009536743;1;0,000942;0,0269858813443634;0,0269858813443634;6,86E-07;6,86E-07;1,96E-05;1,96E-05;4,22457682443082E-20;1,08E-06;0;0;2,3072021484375E-05;2,3072021484375E-05;5,04209986642997E-10;0,000471;0,000471
"SHS70/70/5.0";"{39492160-8fed-47dc-aad7-1d5a48f9f182}";70;70;5;7,5;1;0,00127;0,0263979240414997;0,0263979240414997;8,85E-07;8,85E-07;2,53E-05;2,53E-05;-6,7153830849505E-20;1,42E-06;0;0;3,029884765625E-05;3,029884765625E-05;7,00291666666667E-10;0,000635;0,000635
"SHS70/70/6.3";"{271f45bb-896c-4e53-aa46-5586b39548d5}";70;70;6,30000019073486;9,44999980926514;1;0,00156;0,0258198889747161;0,0258198889747161;1,04E-06;1,04E-06;2,97E-05;2,97E-05;5,89746689525807E-20;1,69E-06;0;0;3,618742578125E-05;3,618742578125E-05;8,82367526714007E-10;0,00078;0,00078
"SHS70/70/8.0";"{0b272702-64ad-4f2f-94d9-1acb9f1af357}";70;70;8;12;1;0,00192;0,025;0,025;1,2E-06;1,2E-06;3,42E-05;3,42E-05;1,06673211794838E-20;2E-06;0;0;4,274749609375E-05;4,274749609375E-05;1,12046666666667E-09;0,00096;0,00096
"SHS80/80/3.0";"{0d038b73-bc69-4465-95ed-721a47613b73}";80;80;3;4,5;1;0,000914;0,0313447687747171;0,0313447687747171;8,98E-07;8,98E-07;2,25E-05;2,25E-05;-2,75285707857648E-21;1,4E-06;0;0;2,6086974609375E-05;2,6086974609375E-05;8,192E-10;0,000457;0,000457
"SHS80/80/3.6";"{b2c5b4d5-7f76-4db8-872c-8d2990881176}";80;80;3,59999990463257;5,40000009536743;1;0,00109;0,0310371189431877;0,0310371189431877;1,05E-06;1,05E-06;2,62E-05;2,62E-05;1,63900875293707E-19;1,64E-06;0;0;3,0671970703125E-05;3,0671970703125E-05;9,83039973958334E-10;0,000545;0,000545
"SHS80/80/5.0";"{a697983b-e0ba-4eb9-8d6f-9d2438d050fa}";80;80;5;7,5;1;0,00147;0,0305282293806183;0,0305282293806183;1,37E-06;1,37E-06;3,42E-05;3,42E-05;-1,00585162486448E-21;2,17E-06;0;0;4,058424609375E-05;4,058424609375E-05;1,36533333333333E-09;0,000735;0,000735
"SHS80/80/6.3";"{8a16cdce-0789-4f16-8b1a-974be159ca4c}";80;80;6,30000019073486;9,44999980926514;1;0,00181;0,029917012289154;0,029917012289154;1,62E-06;1,62E-06;4,05E-05;4,05E-05;-2,54639279768324E-20;2,62E-06;0;0;4,88310234375E-05;4,88310234375E-05;1,72032005208333E-09;0,000905;0,000905
"SHS80/80/8.0";"{fa6b0c52-6aa3-4f02-aff2-2b3d8f516aa3}";80;80;8;12;1;0,00224;0,0290473750965556;0,0290473750965556;1,89E-06;1,89E-06;4,73E-05;4,73E-05;-3,4146015686189E-21;3,12E-06;0;0;5,8278109375E-05;5,8278109375E-05;2,18453333333333E-09;0,00112;0,00112
"SHS90/90/3.6";"{dd87e748-89a5-46ce-ab5b-43b9b0577275}";90;90;3,59999990463257;5,40000009536743;1;0,00123;0,03515355398425;0,03515355398425;1,52E-06;1,52E-06;3,38E-05;3,38E-05;2,45639554703747E-19;2,37E-06;0;0;3,9351921875E-05;3,9351921875E-05;1,77146995307207E-09;0,000615;0,000615
"SHS90/90/5.0";"{85b3cb48-0fd6-4f21-8234-18255e5d46ae}";90;90;5;7,5;1;0,00167;0,0346064270102991;0,0346064270102991;2E-06;2E-06;4,44E-05;4,44E-05;1,05879118406788E-22;3,16E-06;0;0;5,2369640625E-05;5,2369640625E-05;2,460375E-09;0,000835;0,000835
"SHS90/90/6.3";"{91c8c228-ce09-443d-b309-406bc5e76125}";90;90;6,30000019073486;9,44999980926514;1;0,00207;0,0339080883286906;0,0339080883286906;2,38E-06;2,38E-06;5,3E-05;5,3E-05;4,94455482959698E-20;3,82E-06;0;0;6,336462109375E-05;6,336462109375E-05;3,10007259385586E-09;0,001035;0,001035
"SHS90/90/8.0";"{591340a7-af36-4acb-b07f-75e6b9ebcaa1}";90;90;8;12;1;0,00256;0,0331308957017464;0,0331308957017464;2,81E-06;2,81E-06;6,26E-05;6,26E-05;1,97993951420693E-20;4,59E-06;0;0;7,62087265625E-05;7,62087265625E-05;3,9366E-09;0,00128;0,00128
"SHS100/100/4.0";"{8ae8fe36-bb94-4da1-a6b5-5c1e83181810}";100;100;4;6;1;0,00152;0,0390680917050434;0,0390680917050434;2,32E-06;2,32E-06;4,64E-05;4,64E-05;1,37642853928824E-20;3,61E-06;0;0;5,39806875E-05;5,39806875E-05;3,33333333333333E-09;0,00076;0,00076
"SHS100/100/5.0";"{3775e883-60e1-49bf-8060-a4b9a21d1600}";100;100;5;7,5;1;0,00187;0,0386261389427635;0,0386261389427635;2,79E-06;2,79E-06;5,59E-05;5,59E-05;-3,55753837846806E-20;4,39E-06;0;0;6,56550390625E-05;6,56550390625E-05;4,16666666666667E-09;0,000935;0,000935
"SHS100/100/6.3";"{4180eebe-8e09-4afe-b370-0e531e654eb7}";100;100;6,30000019073486;9,44999980926514;1;0,00232;0,0380562197553694;0,0380562197553694;3,36E-06;3,36E-06;6,71E-05;6,71E-05;-4,40457132572236E-20;5,34E-06;0;0;7,978821875E-05;7,978821875E-05;5,25000015894572E-09;0,00116;0,00116
"SHS100/100/8.0";"{d44ab20e-1bf5-4fe5-a938-2a2be106fb6b}";100;100;8;12;1;0,00288;0,0372677996249965;0,0372677996249965;4E-06;4E-06;7,99E-05;7,99E-05;-7,41153828847513E-21;6,46E-06;0;0;9,653934375E-05;9,653934375E-05;6,66666666666667E-09;0,00144;0,00144
"SHS100/100/10.0";"{ffff0d9e-ce5d-42ef-a7d9-68bab9441353}";100;100;10;15;1;0,00349;0,0363838183119504;0,0363838183119504;4,62E-06;4,62E-06;9,24E-05;9,24E-05;-2,65756587201037E-20;7,61E-06;0;0;0,0001138244375;0,0001138244375;8,33333333333334E-09;0,001745;0,001745
"SHS120/120/4.0";"{50740ebd-338c-48cf-b3e7-ee1603df6ea5}";120;120;4;6;1;0,00184;0,0472044581534967;0,0472044581534967;4,1E-06;4,1E-06;6,84E-05;6,84E-05;2,5410988417629E-20;6,35E-06;0;0;7,91459921875E-05;7,91459921875E-05;8,2944E-09;0,00092;0,00092
"SHS120/120/5.0";"{da9abf80-2185-4127-a60d-7cb112edee9a}";120;120;5;7,5;1;0,00227;0,0468383667426496;0,0468383667426496;4,98E-06;4,98E-06;8,3E-05;8,3E-05;2,32934060494933E-20;7,77E-06;0;0;9,67258359375E-05;9,67258359375E-05;1,0368E-08;0,001135;0,001135
"SHS120/120/6.3";"{8e961ee6-9cf8-4b74-adc2-6e7f6a71fbaf}";120;120;6,30000019073486;9,44999980926514;1;0,00282;0,0462417330161882;0,0462417330161882;6,03E-06;6,03E-06;0,0001;0,0001;-2,11758236813575E-20;9,5E-06;0;0;0,00011830540625;0,00011830540625;1,30636803955078E-08;0,00141;0,00141
"SHS120/120/8.0";"{1830820b-648b-4f4e-b6a0-8870bf29b090}";120;120;8;12;1;0,00352;0,0454147553114624;0,0454147553114624;7,26E-06;7,26E-06;0,000121;0,000121;1,10114283143059E-20;1,16E-05;0;0;0,000144400578125;0,000144400578125;1,65888E-08;0,00176;0,00176
"SHS120/120/10.0";"{b73ce675-fb72-4cc5-81e2-ead6bac6da5e}";120;120;10;15;1;0,00429;0,0445647168286077;0,0445647168286077;8,52E-06;8,52E-06;0,000142;0,000142;-1,03549777801838E-19;1,382E-05;0;0;0,000172107609375;0,000172107609375;2,0736E-08;0,002145;0,002145
"SHS120/120/12.5";"{41a76a37-89fc-47d2-9a97-dfb6f70fbb41}";120;120;12,5;18,75;1;0,00521;0,0434147077867316;0,0434147077867316;9,82E-06;9,82E-06;0,000164;0,000164;7,72282289659108E-19;1,623E-05;0;0;0,000202358984375;0,000202358984375;2,592E-08;0,002605;0,002605
"SHS140/140/5.0";"{c48b0724-47ae-48e2-9ced-d3728d9b7d75}";140;140;5;7,5;1;0,00267;0,0549770125608182;0,0549770125608182;8,07E-06;8,07E-06;0,000115;0,000115;-1,6940658945086E-20;1,253E-05;0;0;0,000133796625;0,000133796625;2,24093333333333E-08;0,001335;0,001335
"SHS140/140/6.3";"{f07778d1-28de-4b8c-b7b6-f468f757a8ff}";140;140;6,30000019073486;9,44999980926514;1;0,00333;0,0543594973758492;0,0543594973758492;9,84E-06;9,84E-06;0,000141;0,000141;2,82485487909309E-19;1,54E-05;0;0;0,000164382609375;0,000164382609375;2,82357608548482E-08;0,001665;0,001665
"SHS140/140/8.0";"{687c14df-8544-4f73-8e8a-cd0d0a7ea26f}";140;140;8;12;1;0,00416;0,0535966058052761;0,0535966058052761;1,195E-05;1,195E-05;0,000171;0,000171;9,48676900924816E-20;1,892E-05;0;0;0,0002018618125;0,0002018618125;3,58549333333334E-08;0,00208;0,00208
"SHS140/140/10.0";"{f6c4ee18-67f9-414b-b254-aee41adb8085}";140;140;10;15;1;0,00509;0,0527439602590799;0,0527439602590799;1,416E-05;1,416E-05;0,000202;0,000202;-1,07446129359208E-18;2,272E-05;0;0;0,00024239078125;0,00024239078125;4,48186666666667E-08;0,002545;0,002545
"SHS140/140/12.5";"{e197547c-e890-4b89-bd1b-20dcf9f04de4}";140;140;12,5;18,75;1;0,00621;0,0515929815846329;0,0515929815846329;1,653E-05;1,653E-05;0,000236;0,000236;1,01008678960075E-18;2,696E-05;0;0;0,0002878014375;0,0002878014375;5,60233333333334E-08;0,003105;0,003105
"SHS150/150/5.0";"{df2b7174-ba60-4e55-8cdf-759b7f0a9564}";150;150;5;7,5;1;0,00287;0,059087132259116;0,059087132259116;1,002E-05;1,002E-05;0,000134;0,000134;-2,28698895758661E-20;1,55E-05;0;0;0,000154582015625;0,000154582015625;3,1640625E-08;0,001435;0,001435
"SHS150/150/6.3";"{90917620-7429-4c1d-b46b-c0c89add0f4f}";150;150;6,30000019073486;9,44999980926514;1;0,00358;0,0584482772827261;0,0584482772827261;1,223E-05;1,223E-05;0,000163;0,000163;1,71947688292623E-19;1,909E-05;0;0;0,000190256203125;0,000190256203125;3,98671887069941E-08;0,00179;0,00179
"SHS150/150/8.0";"{ebfe0f10-a081-43d3-b00a-b2df51d41ea9}";150;150;8;12;1;0,00448;0,0576899037960716;0,0576899037960716;1,491E-05;1,491E-05;0,000199;0,000199;5,54806580451567E-19;2,351E-05;0;0;0,000234192421875;0,000234192421875;5,0625E-08;0,00224;0,00224
"SHS150/150/10.0";"{cd4c2d25-efbb-43ad-a781-acb48d1f3e82}";150;150;10;15;1;0,00549;0,056828762055154;0,056828762055154;1,773E-05;1,773E-05;0,000236;0,000236;-5,67088558186754E-19;2,832E-05;0;0;0,000282032375;0,000282032375;6,328125E-08;0,002745;0,002745
"SHS150/150/12.5";"{61eeb737-84aa-40fe-ba84-d3495370b844}";150;150;12,5;18,75;1;0,00671;0,0556763052716632;0,0556763052716632;2,08E-05;2,08E-05;0,000277;0,000277;2,49874719440019E-20;3,375E-05;0;0;0,0003361476875;0,0003361476875;7,91015625E-08;0,003355;0,003355
"SHS150/150/16.0";"{9db96f19-d8a0-4c74-b06c-7442c55dce6e}";150;150;16;24;1;0,0083;0,0541083250837937;0,0541083250837937;2,43E-05;2,43E-05;0,000324;0,000324;3,24413618798397E-19;4,026E-05;0;0;0,0004017024375;0,0004017024375;1,0125E-07;0,00415;0,00415
"SHS160/160/5.0";"{ae8719f0-2d79-4c2f-bbe0-be33a5dfac49}";160;160;5;7,5;1;0,00307;0,0631682516223879;0,0631682516223879;1,225E-05;1,225E-05;0,000153;0,000153;-4,31986803099693E-20;1,892E-05;0;0;0,000176867421875;0,000176867421875;4,36906666666667E-08;0,001535;0,001535
"SHS160/160/6.3";"{2de4b7e5-6ac5-4f3c-8872-81d265d04297}";160;160;6,30000019073486;9,44999980926514;1;0,00383;0,0625606755086967;0,0625606755086967;1,499E-05;1,499E-05;0,000187;0,000187;2,39032697715164E-18;2,333E-05;0;0;0,000218019796875;0,000218019796875;5,50502416666667E-08;0,001915;0,001915
