"MPRL table v3.0"
"TableName";;"SHS"
"TableID";"78518acd-9921-499a-9bca-a1c00df46fef"
"TableType";"CrossSection"
"Group";"#LNG006"
"TableParam1";"SquareHollow"
"TableParam2";""
"TableParam3";""
;;
"Header";"ElementID";"B";"D";"t";"r1";"Fabrication";"A";"ry";"rz";"Iy";"Iz";"Wely";"Welz";"Iyz";"It";"y0";"z0";"Wply";"Wplz";"Iw";"Avy";"Avz"
"Unit";;"mm";"mm";"mm";"mm";;"m2";"m";"m";"m4";"m4";"m3";"m3";"m4";"m4";"m";"m";"m3";"m3";"m6";"m2";"m2"
"UnitCoeff";;0,001;0,001;0,001;0,001;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"Data"
"SHS260/260/10.0";"{ab4b9841-9d42-46b7-8b7d-0cc64180210d}";260;260;10;15;1;0,00989;0,101754080119823;0,101754080119823;0,0001024;0,0001024;0,000788;0,000788;8,13151629364128E-20;0,0001593;0;0;0,0009160898125;0,0009160898125;9,90114666666667E-07;0,004945;0,004945
"SHS260/260/12.5";"{bb83305a-9676-4b4d-8c68-b258c0707123}";260;260;12,5;18,75;1;0,0122;0,100653601728818;0,100653601728818;0,0001236;0,0001236;0,000951;0,000951;-1,40946282423116E-18;0,0001941;0;0;0,00111545625;0,00111545625;1,23764333333333E-06;0,0061;0,0061
"SHS300/300/6.3";"{f44e2776-ca17-4ff8-ab54-92f31a06f860}";300;300;6,30000019073486;9,44999980926514;1;0,00736;0,119725682835534;0,119725682835534;0,0001055;0,0001055;0,000703;0,000703;-4,4316763800345E-18;0,0001614;0;0;0,0008051601875;0,0008051601875;1,27575003862381E-06;0,00368;0,00368
"SHS300/300/8.0";"{c9e952f5-911f-4078-86c1-34a8eb715e00}";300;300;8;12;1;0,00928;0,118948337090317;0,118948337090317;0,0001313;0,0001313;0,000875;0,000875;-5,6920614055489E-19;0,0002019;0;0;0,0010071516875;0,0010071516875;1,62E-06;0,00464;0,00464
"SHS300/300/10.0";"{1df0f754-0c41-464e-ae93-ae0f09fb3c0b}";300;300;10;15;1;0,0115;0,11806409460451;0,11806409460451;0,0001603;0,0001603;0,001068;0,001068;-3,65918233213858E-19;0,0002481;0;0;0,001236656125;0,001236656125;2,025E-06;0,00575;0,00575
"SHS300/300/12.5";"{3ac897ea-e778-4a67-b4e3-265d40d620e5}";300;300;12,5;18,75;1;0,0142;0,117004875304709;0,117004875304709;0,0001944;0,0001944;0,001296;0,001296;-1,11266247951325E-17;0,0003033;0;0;0,001511341125;0,001511341125;2,53125E-06;0,0071;0,0071
"SHS300/300/16.0";"{26356fc9-fcb2-46ab-93b8-cdacce56cd1e}";300;300;16;24;1;0,0179;0,115429729040524;0,115429729040524;0,0002385;0,0002385;0,00159;0,00159;8,87690528722507E-18;0,0003762;0;0;0,001873539375;0,001873539375;3,24E-06;0,00895;0,00895
"SHS350/350/8.0";"{fa588df1-b42e-45a1-8374-9cd8c627b071}";350;350;8;12;1;0,0109;0,139231178623602;0,139231178623602;0,0002113;0,0002113;0,001207;0,001207;-1,51788304147971E-18;0,0003238;0;0;0,00138480475;0,00138480475;3,50145833333334E-06;0,00545;0,00545
"SHS350/350/10.0";"{472acaed-b0ba-49c7-8562-1105944f9133}";350;350;10;15;1;0,0135;0,138457106608402;0,138457106608402;0,0002588;0,0002588;0,001479;0,001479;-3,03576608295941E-18;0,0003989;0;0;0,001704864125;0,001704864125;4,37682291666667E-06;0,00675;0,00675
"SHS350/350/12.5";"{d6c2e6f6-fbda-4dad-87ef-ffec42e9efde}";350;350;12,5;18,75;1;0,0167;0,137427171785314;0,137427171785314;0,0003154;0,0003154;0,001802;0,001802;-5,28006458000441E-17;0,0004893;0;0;0,00209057225;0,00209057225;5,47102864583334E-06;0,00835;0,00835
"SHS350/350/16.0";"{ca98684f-3af6-4f49-8499-f8acf9ce2b34}";350;350;16;24;1;0,0211;0,135849093862703;0,135849093862703;0,0003894;0,0003894;0,002225;0,002225;2,71050543121376E-19;0,000609900032;0;0;0,00260415175;0,00260415175;7,00291666666667E-06;0,01055;0,01055
"SHS350/350/19.0";"{f83809d3-df58-4429-885b-a78739482d16}";350;350;19;28,5;1;0,0242;0,133855725958589;0,133855725958589;0,0004336;0,0004336;0,002478;0,002478;-1,50704101975485E-17;0,000709299968;0;0;0,00302026;0,00302026;8,31596354166667E-06;0,0121;0,0121
"SHS350/350/22.0";"{12b2b330-623d-417d-b644-fe18991ef8db}";350;350;22;33;1;0,0276;0,132356019666765;0,132356019666765;0,0004835;0,0004835;0,002763;0,002763;-1,76182853028894E-19;0,0008018;0;0;0,00341453125;0,00341453125;9,62901041666667E-06;0,0138;0,0138
"SHS350/350/25.0";"{20f9d373-0e55-4e3d-96d6-204d90656326}";350;350;25;37,5;1;0,0309;0,13083006097365;0,13083006097365;0,0005289;0,0005289;0,003022;0,003022;-2,33645568170626E-17;0,0008888;0;0;0,003787356;0,003787356;1,09420572916667E-05;0,01545;0,01545
"SHS400/400/8.0";"{e87134e9-2eea-4da8-ab91-0708e2eabee6}";400;400;8;12;1;0,0125;0,159649616347801;0,159649616347801;0,0003186;0,0003186;0,001596;0,001596;1,51246203061728E-17;0,0004869;0;0;0,001822457875;0,001822457875;6,82666666666667E-06;0,00625;0,00625
"SHS400/400/10.0";"{c12f8c50-bf18-4e37-8ad1-2cc50f14525e}";400;400;10;15;1;0,0155;0,158887259685359;0,158887259685359;0,0003913;0,0003913;0,001956;0,001956;-1,0842021724855E-18;0,000600899968;0;0;0,002248072;0,002248072;8,53333333333334E-06;0,00775;0,00775
"SHS400/400/12.5";"{f037946f-558f-4585-ae3f-06ff0bcaa41d}";400;400;12,5;18,75;1;0,0192;0,157850139900688;0,157850139900688;0,0004784;0,0004784;0,002392;0,002392;-4,37475576597901E-17;0,000739100032;0;0;0,0027635535;0,0027635535;1,06666666666667E-05;0,0096;0,0096
"SHS400/400/16.0";"{651153d0-1ebd-4db1-8ce8-ca730e6c3ac8}";400;400;16;24;1;0,0243;0,156268208815548;0,156268208815548;0,0005934;0,0005934;0,002967;0,002967;3,52365706057789E-18;0,0009244;0;0;0,003454764;0,003454764;1,36533333333333E-05;0,01215;0,01215
"SHS400/400/20.0";"{f2abb797-b7ca-4e1a-b8f7-0d3f871149d4}";400;400;20;30;1;0,03;0,154412863022051;0,154412863022051;0,000715299968;0,000715299968;0,003577;0,003577;4,77048955893622E-18;0,001124999936;0;0;0,0042019225;0,0042019225;1,70666666666667E-05;0,015;0,015
"SHS400/400/22.0";"{0ab2fb85-53a5-47f1-81a0-35773b0a4df4}";400;400;22;33;1;0,032;0,152796845517177;0,152796845517177;0,000747100032;0,000747100032;0,003735;0,003735;5,42101086242752E-19;0,001224;0;0;0,0045586575;0,0045586575;1,87733333333333E-05;0,016;0,016
"SHS400/400/25.0";"{b4e72f34-90cc-4be2-a45d-b1605e5ae584}";400;400;25;37,5;1;0,0359;0,151271310062123;0,151271310062123;0,000821500032;0,000821500032;0,004108;0,004108;-4,28259858131774E-18;0,001360999936;0;0;0,0050730305;0,0050730305;2,13333333333333E-05;0,01795;0,01795
"SHS450/450/12.0";"{c3d95947-0c09-4441-b900-595fefb56b91}";450;450;12;18;1;0,0207;0,177788349444129;0,177788349444129;0,000654300032;0,000654300032;0,002908;0,002908;-1,38777878078145E-17;0,001024;0;0;0,00339913675;0,00339913675;1,84528125E-05;0,01035;0,01035
"SHS450/450/16.0";"{546c3b3b-70fe-4fd8-af9f-dde2c6220c01}";450;450;16;24;1;0,0271;0,176131034750308;0,176131034750308;0,000840700032;0,000840700032;0,003736;0,003736;-4,33680868994202E-19;0,001335000064;0;0;0,0044253765;0,0044253765;2,460375E-05;0,01355;0,01355
"SHS450/450/19.0";"{24981dc4-6938-4a8c-b46e-f3885027f49d}";450;450;19;28,5;1;0,0318;0,17470550242799;0,17470550242799;0,0009706;0,0009706;0,004314;0,004314;6,08237418764368E-17;0,001558;0;0;0,005160971;0,005160971;2,9216953125E-05;0,0159;0,0159
"SHS450/450/22.0";"{9ad163c3-f8c1-4251-8bc6-a79d74ab91c9}";450;450;22;33;1;0,0364;0,173205080756888;0,173205080756888;0,001092;0,001092;0,004854;0,004854;-2,65087431172706E-17;0,001772;0;0;0,005867784;0,005867784;3,383015625E-05;0,0182;0,0182
"SHS450/450/25.0";"{ab9a6932-9d5a-4f6f-a97d-3616abf272fa}";450;450;25;37,5;1;0,0409;0,171716488920654;0,171716488920654;0,001206;0,001206;0,005359;0,005359;-4,40186082029115E-17;0,001976999936;0;0;0,006546205;0,006546205;3,8443359375E-05;0,02045;0,02045
"SHS450/450/28.0";"{c13b0a9f-88bb-4b6c-b0db-db2e2b62b653}";450;450;28;42;1;0,0452;0,170371795413931;0,170371795413931;0,001312;0,001312;0,00583;0,00583;-2,87313575708659E-18;0,002172999936;0;0;0,007196625;0,007196625;4,30565625E-05;0,0226;0,0226
"SHS450/450/32.0";"{08f65edf-e1f4-4016-9922-b30c47b2e813}";450;450;32;48;1;0,0509;0,168256979992827;0,168256979992827;0,001440999936;0,001440999936;0,006404;0,006404;-4,98732999343332E-18;0,00242;0;0;0,008020967;0,008020967;4,92075E-05;0,02545;0,02545
"SHS500/500/12.0";"{90153e2b-7273-4941-b99b-5d88a7d0452e}";500;500;12;18;1;0,0231;0,198206245287568;0,198206245287568;0,000907500032;0,000907500032;0,00363;0,00363;-1,30104260698261E-18;0,001415000064;0;0;0,0042263565;0,0042263565;3,125E-05;0,01155;0,01155
"SHS500/500/16.0";"{7c69b534-fcf5-45b9-8807-705de3fec521}";500;500;16;24;1;0,0303;0,196588063723818;0,196588063723818;0,001171000064;0,001171000064;0,004682;0,004682;-7,37257477290143E-18;0,001848;0;0;0,0055159885;0,0055159885;4,16666666666667E-05;0,01515;0,01515
"SHS500/500/19.0";"{979f93f6-90a6-47d5-a13c-bc306ce06b4c}";500;500;19;28,5;1;0,0356;0,195094335003766;0,195094335003766;0,001355000064;0,001355000064;0,005422;0,005422;1,40946282423116E-18;0,002160999936;0;0;0,006445077;0,006445077;4,94791666666667E-05;0,0178;0,0178
"SHS500/500/22.0";"{088dcbb6-e211-4fd7-99ee-57dc9d058c3c}";500;500;22;33;1;0,0408;0,193649167310371;0,193649167310371;0,00153;0,00153;0,00612;0,00612;-1,01915004213637E-17;0,002462000128;0;0;0,0073419105;0,0073419105;5,72916666666667E-05;0,0204;0,0204
"SHS500/500/25.0";"{e101e4d7-81f0-4e57-ae20-fc035d2b3c90}";500;500;25;37,5;1;0,0459;0,192110171731714;0,192110171731714;0,001694;0,001694;0,006778;0,006778;5,34511671035354E-17;0,002752999936;0;0;0,00820688;0,00820688;6,51041666666667E-05;0,02295;0,02295
"SHS500/500/28.0";"{4a6d1b92-f007-4909-a261-235f0c4d8666}";500;500;28;42;1;0,0508;0,190781646222673;0,190781646222673;0,001848999936;0,001848999936;0,007396;0,007396;-2,19008838842072E-17;0,003032999936;0;0;0,009040375;0,009040375;7,29166666666667E-05;0,0254;0,0254
"SHS500/500/32.0";"{b5328fcd-dc76-49dd-b13b-f62fdc93763a}";500;500;32;48;1;0,0573;0,188685172286637;0,188685172286637;0,00204;0,00204;0,008161;0,008161;4,60785923306339E-18;0,003388999936;0;0;0,010103416;0,010103416;8,33333333333333E-05;0,02865;0,02865
"SHS500/500/36.0";"{5e6384da-762e-4b13-94dc-84f0e6826b44}";500;500;36;54;1;0,0635;0,186766942395204;0,186766942395204;0,002215000064;0,002215000064;0,00886;0,00886;-4,51570204840213E-17;0,003724999936;0;0;0,011112122;0,011112122;9,375E-05;0,03175;0,03175
"SHS550/550/16.0";"{76aee8f5-d583-4139-8e45-3c6c10ecc19b}";550;550;16;24;1;0,0335;0,21696687524879;0,21696687524879;0,001576999936;0,001576999936;0,005734;0,005734;1,73472347597681E-18;0,002479000064;0;0;0,006726601;0,006726601;6,71045833333334E-05;0,01675;0,01675
"SHS550/550/19.0";"{d6c4c389-cf51-45c3-83d5-413b7b633306}";550;550;19;28,5;1;0,0394;0,215514965855307;0,215514965855307;0,00183;0,00183;0,006656;0,006656;2,42861286636753E-16;0,002902000128;0;0;0,0078716825;0,0078716825;7,96866927083334E-05;0,0197;0,0197
"SHS550/550/22.0";"{6a2748d3-1f57-4f94-9cac-64e93bce69be}";550;550;22;33;1;0,0452;0,214052763324199;0,214052763324199;0,002071000064;0,002071000064;0,007532;0,007532;3,03576608295941E-18;0,003312999936;0;0;0,008981037;0,008981037;9,22688020833334E-05;0,0226;0,0226
"SHS550/550/25.0";"{7913b66c-10ac-4542-b8d4-e979b386d21f}";550;550;25;37,5;1;0,0509;0,212571494964665;0,212571494964665;0,0023;0,0023;0,008362;0,008362;-2,64545330086463E-17;0,003710000128;0;0;0,010055054;0,010055054;0,000104850911458333;0,02545;0,02545
"SHS550/550/28.0";"{95471c9c-417f-4076-9490-3553a24de2c5}";550;550;28;42;1;0,0564;0,211210627284742;0,211210627284742;0,002516;0,002516;0,009149;0,009149;7,26415455565288E-18;0,004094000128;0;0;0,011094125;0,011094125;0,000117433020833333;0,0282;0,0282
"SHS550/550/32.0";"{ed462518-f02f-4872-a99c-4b37ebba7fb8}";550;550;32;48;1;0,0637;0,209132163300733;0,209132163300733;0,002785999872;0,002785999872;0,01013;0,01013;2,47198095326695E-17;0,004585999872;0;0;0,012425866;0,012425866;0,000134209166666667;0,03185;0,03185
"SHS550/550/36.0";"{4edd7caf-f0fe-42d2-a7eb-f926875d2f66}";550;550;36;54;1;0,0707;0,207190407886626;0,207190407886626;0,003035000064;0,003035000064;0,01104;0,01104;-1,07119174641568E-16;0,005054000128;0;0;0,013697097;0,013697097;0,0001509853125;0,03535;0,03535
"SHS550/550/40.0";"{06799402-c216-460d-81ee-f7f053ab89b3}";550;550;40;60;1;0,0775;0,205253578366512;0,205253578366512;0,003264999936;0,003264999936;0,01187;0,01187;-1,0169816377914E-16;0,005497999872;0;0;0,014908745;0,014908745;0,000167761458333333;0,03875;0,03875
"SHS600/600/25.0";"{66aac19a-b97c-4b97-bb2d-181bb3a2382b}";600;600;25;37,5;1;0,0559;0,23297100605034;0,23297100605034;0,003033999872;0,003033999872;0,01011;0,01011;-1,7802599672212E-16;0,004865999872;0;0;0,012090729;0,012090729;0,000162;0,02795;0,02795
"SHS600/600/28.0";"{ae2052ab-f51b-46c2-8e42-a64a7789e562}";600;600;28;42;1;0,062;0,231649069402056;0,231649069402056;0,003327000064;0,003327000064;0,01109;0,01109;-3,25260651745651E-18;0,005376999936;0;0;0,013357875;0,013357875;0,00018144;0,031;0,031
"SHS600/600/32.0";"{1dde35e2-d95c-4748-ab9a-0c0d3f711b04}";600;600;32;48;1;0,0701;0,229556420484049;0,229556420484049;0,003694000128;0,003694000128;0,01231;0,01231;1,42030484595601E-16;0,006033999872;0;0;0,014988315;0,014988315;0,00020736;0,03505;0,03505
"SHS600/600/36.0";"{4d8ca2e7-4392-4d2d-9d85-dca8d06ca3a0}";600;600;36;54;1;0,0779;0,227646324340806;0,227646324340806;0,004036999936;0,004036999936;0,01346;0,01346;8,84708972748172E-17;0,006663000064;0;0;0,016552072;0,016552072;0,00023328;0,03895;0,03895
"SHS600/600/40.0";"{acbff391-00df-45c0-8fa5-d6c57c2cf1ab}";600;600;40;60;1;0,0855;0,225689322452361;0,225689322452361;0,004354999808;0,004354999808;0,01452;0,01452;-1,45174670895809E-16;0,007264;0;0;0,018050072;0,018050072;0,0002592;0,04275;0,04275
